Pf,PumpPressure,Time,PumpVolume,Pc
6.4893742963999985,6.481840934999999,10346.152814971518,423.87264375480567,7.649186597999999
6.4893308656,6.466349426999998,10346.202814971517,423.84847304999244,7.645224293999999
6.487255493799998,6.439459415999999,10346.252814971518,423.93426633065576,7.6370657999999985
6.484472820399998,6.414302912999998,10346.302814971517,424.0244357810326,7.624828058999999
6.4781815588,6.388534178999999,10346.352814971515,424.0635159942885,7.61670396
6.4690238643999995,6.370428650999998,10346.402814971514,424.0410245173886,7.6151768220000005
6.461863986799998,6.357386066999998,10346.452814971513,424.05227025583855,7.6121913359999995
6.459224014599999,6.348766679999999,10346.502814971514,424.10799009114476,7.6161949139999985
6.453745529399998,6.346647947999999,10346.552814971514,424.2015688830426,7.622702447999999
6.441901329799999,6.337615820999999,10346.602814971511,424.2836475080189,7.620769449
6.429557675999999,6.326086616999999,10346.65281497151,424.2500629497521,7.612136304
6.424069884199999,6.326760758999999,10346.70281497151,424.12315402805916,7.610698592999999
6.420477536599999,6.319159463999999,10346.75281497151,423.90515971349123,7.612108787999999
6.4017433507999995,6.313112822999999,10346.80281497151,423.646100643588,7.630991642999999
6.390929081599999,6.306419555999999,10346.852814971506,423.437876382334,7.651277813999999
6.3948657733999985,6.298818260999998,10346.902814971507,423.7826778472062,7.663075298999999
6.407929137599999,6.291292634999999,10346.952814971506,424.1711901235195,7.652880620999999
6.388952980199998,6.282721400999999,10347.002814971507,424.3564140509302,7.63878555
6.3498249316,6.275973101999999,10347.052814971506,424.1917479440343,7.632429354
6.342537863799998,6.271563662999999,10347.102814971502,423.86663924287313,7.637320322999999
6.373345811999999,6.262345802999999,10347.152814971503,423.9687668314207,7.647081623999999
6.3725175246,6.240449945999999,10347.202814971502,423.9860170818032,7.656588402
6.346130211399999,6.220260080999998,10347.252814971504,424.04911534278926,7.648553729999999
6.3359580976,6.199003970999999,10347.302814971503,424.1301253681842,7.608813746999999
6.325807699199999,6.197029697999999,10347.352814971502,424.1414219923285,7.545602615999999
6.3147979914,6.174961865999999,10347.4028149715,424.1440680484344,7.48187556
6.303326055799999,6.158555450999999,10347.452814971499,424.14411893412876,7.498653441
6.290724919399998,6.143511077999999,10347.5028149715,424.1448822195439,7.611090695999999
6.279960285399999,6.131562254999999,10347.5528149715,424.1146561171038,7.7167865309999994
6.266887614599999,6.107258747999999,10347.602814971498,424.15943552812615,7.727111909999999
6.2545470629999995,6.093927245999999,10347.652814971496,424.1368422798376,7.654194509999999
6.242591184199999,6.075285155999999,10347.702814971495,424.10987286183547,7.619668809
6.2306942472,6.062634674999999,10347.752814971496,424.12345934222526,7.612941146999999
6.218043475599999,6.050046104999999,10347.802814971496,424.11801457293046,7.620411741
6.206484678399998,6.043937552999998,10347.852814971495,424.12066062903637,7.626052520999999
6.195077888999999,6.041495507999999,10347.902814971492,424.11318043196786,7.630792152
6.1849057752,6.040236650999999,10347.952814971492,424.1159282594624,7.6277722709999995
6.174829829599999,6.041509265999999,10348.00281497149,424.1118574039149,7.6300354619999995
6.165755894599999,6.046572209999999,10348.052814971492,424.10452986392943,7.633598784
6.1585401774,6.043332200999999,10348.102814971491,424.10676883448053,7.629966671999999
6.151733950599998,6.047769155999999,10348.152814971489,424.135570137479,7.620955181999999
6.1449277237999995,6.064753406999999,10348.202814971488,424.15393987313706,7.616697080999999
6.140808002199999,6.078435737999999,10348.252814971487,424.16345549797927,7.615878479999999
6.132301769799999,6.0794882249999995,10348.302814971488,424.21067742233015,7.6173574649999996
6.129664899799999,6.063191873999998,10348.352814971488,424.1292603113804,7.620336071999999
6.121366514799999,6.040587479999998,10348.402814971485,424.1788229776711,7.629072401999999
6.117029639199999,6.033288860999999,10348.452814971484,424.140302507053,7.63486452
6.111603891399999,6.041598692999998,10348.502814971484,424.12966739693513,7.636295351999999
6.105253687999999,6.0409039139999985,10348.552814971485,424.08356495785983,7.639466571
6.099663523599999,6.025171640999999,10348.602814971484,424.0663655931717,7.637340959999999
6.092534668,5.996947103999999,10348.652814971481,424.0617858806808,7.639239564
6.087282643399999,5.960116937999999,10348.70281497148,424.0573588252729,7.643793462
6.081258170999999,5.915073245999999,10348.75281497148,424.06677267872647,7.638895613999999
6.075832423199999,5.895750134999999,10348.802814971481,424.056341111386,7.635229107
6.0698761991999985,5.962407644999999,10348.85281497148,424.07348959037984,7.625935577999999
6.065390417999999,6.050493239999999,10348.902814971476,424.12345934222526,7.616139881999999
6.060163210999998,6.079323128999999,10348.952814971477,424.1901704875097,7.615190579999999
6.0540766946,6.012975173999999,10349.002814971476,424.25647454723935,7.609198971
6.0504378139999995,5.944315874999999,10349.052814971477,424.29916764479367,7.611221397
6.043600565199999,5.967388040999999,10349.102814971477,424.3027296433977,7.613216306999999
6.040557306999999,5.972684870999999,10349.152814971472,424.16579623991913,7.624903727999999
6.036000175199999,5.9757460259999995,10349.202814971473,424.08005384495016,7.632023492999999
6.032823522399998,5.972148308999999,10349.252814971473,424.09582841019665,7.634059677
6.029569314599999,5.967504983999999,10349.302814971474,424.1790265204484,7.642410782999999
6.026826969799999,5.965571984999999,10349.352814971473,424.1794844916975,7.645891557
6.020883154599999,5.9631161819999985,10349.402814971469,424.06519522220185,7.649303541
6.014526746799999,5.954861381999999,10349.45281497147,423.8974759736453,7.645877798999999
6.0128484566,5.951077932,10349.502814971469,423.76812453862397,7.64538939
6.013534042799999,5.954235392999999,10349.55281497147,423.738661721599,7.6493310569999995
6.010872355199999,5.942761220999999,10349.60281497147,423.84460573722237,7.651559852999999
